Time,Label,Handedness,Palm_X,Palm_Y,Palm_Z,Wrist_X,Wrist_Y,Wrist_Z,ThumbMetacarpal_X,ThumbMetacarpal_Y,ThumbMetacarpal_Z,ThumbProximal_X,ThumbProximal_Y,ThumbProximal_Z,ThumbDistal_X,ThumbDistal_Y,ThumbDistal_Z,ThumbTip_X,ThumbTip_Y,ThumbTip_Z,IndexMetacarpal_X,IndexMetacarpal_Y,IndexMetacarpal_Z,IndexProximal_X,IndexProximal_Y,IndexProximal_Z,IndexIntermediate_X,IndexIntermediate_Y,IndexIntermediate_Z,IndexTip_X,IndexTip_Y,IndexTip_Z,MiddleMetacarpal_X,MiddleMetacarpal_Y,MiddleMetacarpal_Z,MiddleProximal_X,MiddleProximal_Y,MiddleProximal_Z,MiddleIntermediate_X,MiddleIntermediate_Y,MiddleIntermediate_Z,MiddleTip_X,MiddleTip_Y,MiddleTip_Z,RingMetacarpal_X,RingMetacarpal_Y,RingMetacarpal_Z,RingProximal_X,RingProximal_Y,RingProximal_Z,RingIntermediate_X,RingIntermediate_Y,RingIntermediate_Z,RingTip_X,RingTip_Y,RingTip_Z,LittleMetacarpal_X,LittleMetacarpal_Y,LittleMetacarpal_Z,LittleProximal_X,LittleProximal_Y,LittleProximal_Z,LittleIntermediate_X,LittleIntermediate_Y,LittleIntermediate_Z,LittleTip_X,LittleTip_Y,LittleTip_Z
12.5861,A,RightHand,0.1824,1.6173,0.3184,0.1861,1.5705,0.3068,0.1967,1.5933,0.2923,0.2147,1.6317,0.2782,0.2164,1.6627,0.2792,0.2255,1.6798,0.2751,0.1901,1.5923,0.3015,0.2066,1.6508,0.3082,0.1910,1.6778,0.2935,0.1933,1.6452,0.2906,0.1841,1.5903,0.3070,0.1911,1.6450,0.3219,0.1687,1.6693,0.2975,0.1840,1.6345,0.3004,0.1759,1.5881,0.3140,0.1729,1.6387,0.3274,0.1530,1.6574,0.3025,0.1734,1.6270,0.3072,0.1677,1.5860,0.3173,0.1532,1.6341,0.3307,0.1419,1.6457,0.3141,0.1620,1.6245,0.3120
12.6482,A,RightHand,0.1793,1.6267,0.3193,0.1826,1.5798,0.3084,0.1934,1.6023,0.2936,0.2117,1.6404,0.2792,0.2125,1.6720,0.2806,0.2182,1.6903,0.2774,0.1867,1.6015,0.3028,0.2039,1.6599,0.3086,0.1881,1.6868,0.2938,0.1904,1.6542,0.2910,0.1808,1.5996,0.3083,0.1883,1.6544,0.3224,0.1657,1.6783,0.2980,0.1812,1.6437,0.3009,0.1726,1.5976,0.3154,0.1700,1.6484,0.3279,0.1500,1.6666,0.3029,0.1706,1.6363,0.3079,0.1643,1.5956,0.3187,0.1503,1.6438,0.3313,0.1390,1.6546,0.3139,0.1592,1.6337,0.3126
12.7186,A,RightHand,0.1734,1.6345,0.3195,0.1768,1.5876,0.3085,0.1877,1.6101,0.2938,0.2061,1.6482,0.2797,0.2065,1.6799,0.2817,0.2110,1.6985,0.2792,0.1810,1.6093,0.3029,0.1981,1.6677,0.3091,0.1824,1.6944,0.2940,0.1850,1.6618,0.2916,0.1749,1.6073,0.3084,0.1823,1.6621,0.3228,0.1599,1.6858,0.2980,0.1757,1.6514,0.3016,0.1667,1.6053,0.3154,0.1641,1.6560,0.3281,0.1442,1.6739,0.3028,0.1651,1.6440,0.3086,0.1584,1.6033,0.3186,0.1443,1.6514,0.3311,0.1331,1.6619,0.3136,0.1537,1.6411,0.3132
12.7823,A,RightHand,0.1620,1.6456,0.3212,0.1659,1.5988,0.3103,0.1769,1.6212,0.2959,0.1953,1.6593,0.2818,0.1949,1.6910,0.2839,0.1987,1.7098,0.2816,0.1700,1.6204,0.3048,0.1867,1.6790,0.3113,0.1714,1.7060,0.2963,0.1734,1.6735,0.2931,0.1639,1.6185,0.3102,0.1707,1.6734,0.3247,0.1487,1.6973,0.2997,0.1645,1.6640,0.3037,0.1556,1.6164,0.3170,0.1523,1.6672,0.3296,0.1329,1.6856,0.3043,0.1537,1.6562,0.3104,0.1472,1.6144,0.3201,0.1326,1.6624,0.3324,0.1216,1.6733,0.3148,0.1422,1.6527,0.3144
12.8514,A,RightHand,0.1459,1.6564,0.3232,0.1513,1.6096,0.3137,0.1622,1.6317,0.2990,0.1803,1.6695,0.2843,0.1787,1.7013,0.2856,0.1811,1.7202,0.2833,0.1551,1.6310,0.3077,0.1701,1.6901,0.3132,0.1546,1.7164,0.2969,0.1572,1.6839,0.2942,0.1489,1.6290,0.3129,0.1538,1.6846,0.3262,0.1321,1.7077,0.3002,0.1485,1.6766,0.3059,0.1403,1.6270,0.3196,0.1354,1.6783,0.3308,0.1164,1.6966,0.3051,0.1373,1.6689,0.3126,0.1319,1.6248,0.3224,0.1157,1.6730,0.3331,0.1051,1.6838,0.3152,0.1258,1.6641,0.3156
12.9262,A,RightHand,0.1233,1.6709,0.3260,0.1290,1.6242,0.3159,0.1399,1.6464,0.3015,0.1580,1.6842,0.2870,0.1563,1.7159,0.2884,0.1587,1.7348,0.2860,0.1327,1.6456,0.3102,0.1474,1.7048,0.3165,0.1320,1.7316,0.3004,0.1330,1.6993,0.2955,0.1265,1.6436,0.3154,0.1310,1.6991,0.3294,0.1095,1.7228,0.3034,0.1251,1.6918,0.3073,0.1179,1.6414,0.3219,0.1125,1.6928,0.3338,0.0938,1.7122,0.3085,0.1140,1.6845,0.3143,0.1095,1.6391,0.3247,0.0929,1.6874,0.3360,0.0822,1.6991,0.3183,0.1025,1.6796,0.3170
12.9933,A,RightHand,0.1040,1.6774,0.3273,0.1099,1.6309,0.3172,0.1206,1.6531,0.3027,0.1385,1.6910,0.2882,0.1367,1.7225,0.2896,0.1396,1.7415,0.2872,0.1135,1.6523,0.3114,0.1278,1.7115,0.3176,0.1122,1.7382,0.3014,0.1131,1.7059,0.2964,0.1073,1.6501,0.3166,0.1115,1.7057,0.3305,0.0898,1.7294,0.3047,0.1053,1.6984,0.3082,0.0987,1.6479,0.3232,0.0931,1.6994,0.3351,0.0741,1.7189,0.3100,0.0944,1.6912,0.3154,0.0904,1.6456,0.3261,0.0736,1.6939,0.3375,0.0627,1.7061,0.3202,0.0828,1.6868,0.3185
13.0568,A,RightHand,0.0853,1.6788,0.3280,0.0914,1.6324,0.3184,0.1020,1.6544,0.3037,0.1197,1.6923,0.2889,0.1175,1.7236,0.2904,0.1210,1.7425,0.2878,0.0949,1.6536,0.3124,0.1089,1.7130,0.3180,0.0933,1.7390,0.3012,0.0950,1.7065,0.2976,0.0886,1.6515,0.3176,0.0926,1.7072,0.3309,0.0709,1.7304,0.3047,0.0867,1.6995,0.3091,0.0801,1.6493,0.3242,0.0742,1.7008,0.3355,0.0553,1.7200,0.3101,0.0757,1.6925,0.3163,0.0717,1.6470,0.3270,0.0547,1.6955,0.3380,0.0438,1.7077,0.3211,0.0640,1.6887,0.3196
13.1198,A,RightHand,0.0626,1.6772,0.3268,0.0686,1.6310,0.3168,0.0794,1.6530,0.3025,0.0968,1.6912,0.2882,0.0943,1.7226,0.2901,0.0978,1.7415,0.2878,0.0722,1.6521,0.3111,0.0863,1.7114,0.3175,0.0710,1.7378,0.3006,0.0716,1.7055,0.2955,0.0659,1.6500,0.3162,0.0699,1.7055,0.3302,0.0488,1.7292,0.3037,0.0641,1.6980,0.3080,0.0573,1.6477,0.3227,0.0515,1.6992,0.3345,0.0332,1.7188,0.3089,0.0531,1.6909,0.3153,0.0489,1.6454,0.3254,0.0319,1.6939,0.3368,0.0215,1.7066,0.3197,0.0414,1.6873,0.3186
13.1849,A,RightHand,0.0493,1.6712,0.3277,0.0559,1.6252,0.3176,0.0669,1.6472,0.3037,0.0839,1.6860,0.2902,0.0805,1.7172,0.2924,0.0837,1.7363,0.2903,0.0595,1.6462,0.3121,0.0730,1.7056,0.3192,0.0583,1.7323,0.3022,0.0588,1.7001,0.2965,0.0531,1.6440,0.3170,0.0563,1.6996,0.3313,0.0361,1.7236,0.3044,0.0511,1.6921,0.3088,0.0443,1.6417,0.3232,0.0377,1.6932,0.3350,0.0204,1.7131,0.3091,0.0399,1.6851,0.3159,0.0359,1.6393,0.3256,0.0181,1.6879,0.3367,0.0084,1.7010,0.3197,0.0281,1.6816,0.3189
