Time,Label,Handedness,Palm_X,Palm_Y,Palm_Z,Wrist_X,Wrist_Y,Wrist_Z,ThumbMetacarpal_X,ThumbMetacarpal_Y,ThumbMetacarpal_Z,ThumbProximal_X,ThumbProximal_Y,ThumbProximal_Z,ThumbDistal_X,ThumbDistal_Y,ThumbDistal_Z,ThumbTip_X,ThumbTip_Y,ThumbTip_Z,IndexMetacarpal_X,IndexMetacarpal_Y,IndexMetacarpal_Z,IndexProximal_X,IndexProximal_Y,IndexProximal_Z,IndexIntermediate_X,IndexIntermediate_Y,IndexIntermediate_Z,IndexTip_X,IndexTip_Y,IndexTip_Z,MiddleMetacarpal_X,MiddleMetacarpal_Y,MiddleMetacarpal_Z,MiddleProximal_X,MiddleProximal_Y,MiddleProximal_Z,MiddleIntermediate_X,MiddleIntermediate_Y,MiddleIntermediate_Z,MiddleTip_X,MiddleTip_Y,MiddleTip_Z,RingMetacarpal_X,RingMetacarpal_Y,RingMetacarpal_Z,RingProximal_X,RingProximal_Y,RingProximal_Z,RingIntermediate_X,RingIntermediate_Y,RingIntermediate_Z,RingTip_X,RingTip_Y,RingTip_Z,LittleMetacarpal_X,LittleMetacarpal_Y,LittleMetacarpal_Z,LittleProximal_X,LittleProximal_Y,LittleProximal_Z,LittleIntermediate_X,LittleIntermediate_Y,LittleIntermediate_Z,LittleTip_X,LittleTip_Y,LittleTip_Z
134.0006,E,RightHand,0.1937,1.2060,0.2860,0.2109,1.1862,0.2440,0.2071,1.2118,0.2485,0.1941,1.2531,0.2551,0.1736,1.2755,0.2671,0.1605,1.2867,0.2737,0.2046,1.2036,0.2550,0.1984,1.2450,0.3025,0.1750,1.2693,0.3166,0.1603,1.2598,0.2888,0.2020,1.1966,0.2577,0.1916,1.2260,0.3093,0.1589,1.2526,0.3198,0.1632,1.2415,0.2884,0.1981,1.1876,0.2615,0.1798,1.2101,0.3103,0.1512,1.2338,0.3202,0.1620,1.2254,0.2895,0.1931,1.1799,0.2622,0.1671,1.1945,0.3093,0.1486,1.2116,0.3163,0.1575,1.2134,0.2893
134.0747,E,RightHand,0.1273,1.3547,0.3395,0.1502,1.3254,0.3065,0.1527,1.3511,0.3071,0.1554,1.3930,0.3033,0.1329,1.4147,0.3079,0.1195,1.4052,0.3127,0.1459,1.3452,0.3132,0.1365,1.3943,0.3533,0.1167,1.4205,0.3716,0.1032,1.4191,0.3420,0.1408,1.3394,0.3158,0.1229,1.3785,0.3608,0.0938,1.4068,0.3750,0.0948,1.4056,0.3439,0.1337,1.3321,0.3191,0.1072,1.3655,0.3609,0.0820,1.3898,0.3743,0.0866,1.3908,0.3415,0.1269,1.3259,0.3189,0.0932,1.3518,0.3559,0.0758,1.3704,0.3632,0.0804,1.3791,0.3369
134.1377,E,RightHand,0.1014,1.4322,0.3495,0.1230,1.3924,0.3281,0.1314,1.4163,0.3253,0.1464,1.4540,0.3147,0.1316,1.4808,0.3077,0.1152,1.4767,0.3102,0.1222,1.4135,0.3303,0.1168,1.4712,0.3584,0.1009,1.5045,0.3682,0.0920,1.5025,0.3372,0.1154,1.4097,0.3325,0.0985,1.4606,0.3654,0.0759,1.4972,0.3719,0.0790,1.4937,0.3415,0.1061,1.4048,0.3352,0.0805,1.4515,0.3644,0.0615,1.4830,0.3726,0.0692,1.4796,0.3421,0.0982,1.4002,0.3343,0.0651,1.4398,0.3578,0.0517,1.4634,0.3596,0.0612,1.4674,0.3335
134.2109,E,RightHand,0.0905,1.4882,0.3482,0.1112,1.4441,0.3334,0.1217,1.4670,0.3298,0.1420,1.5016,0.3172,0.1345,1.5294,0.3036,0.1175,1.5290,0.3035,0.1118,1.4657,0.3337,0.1086,1.5264,0.3549,0.0953,1.5620,0.3565,0.0908,1.5554,0.3252,0.1044,1.4627,0.3354,0.0887,1.5182,0.3606,0.0698,1.5576,0.3600,0.0760,1.5502,0.3308,0.0944,1.4590,0.3373,0.0701,1.5107,0.3585,0.0539,1.5448,0.3621,0.0638,1.5386,0.3327,0.0863,1.4550,0.3359,0.0545,1.4998,0.3515,0.0437,1.5252,0.3511,0.0550,1.5272,0.3253
134.2880,E,RightHand,0.0755,1.5323,0.3542,0.0937,1.4856,0.3433,0.1057,1.5076,0.3386,0.1267,1.5415,0.3231,0.1265,1.5699,0.3064,0.1166,1.5815,0.2979,0.0956,1.5072,0.3423,0.0960,1.5694,0.3588,0.0859,1.6051,0.3565,0.0834,1.5931,0.3266,0.0881,1.5048,0.3438,0.0754,1.5632,0.3642,0.0604,1.6037,0.3607,0.0674,1.5928,0.3327,0.0778,1.5020,0.3455,0.0564,1.5569,0.3621,0.0435,1.5923,0.3644,0.0535,1.5836,0.3357,0.0696,1.4984,0.3439,0.0403,1.5469,0.3568,0.0323,1.5737,0.3617,0.0428,1.5754,0.3366
134.3583,E,RightHand,0.0682,1.5437,0.3547,0.0838,1.4954,0.3476,0.0971,1.5162,0.3425,0.1187,1.5486,0.3243,0.1186,1.5758,0.3046,0.1060,1.5848,0.2970,0.0870,1.5166,0.3457,0.0909,1.5796,0.3589,0.0837,1.6160,0.3560,0.0821,1.6033,0.3263,0.0793,1.5149,0.3467,0.0696,1.5752,0.3633,0.0583,1.6167,0.3587,0.0660,1.6042,0.3314,0.0690,1.5129,0.3477,0.0505,1.5702,0.3602,0.0407,1.6066,0.3612,0.0514,1.5960,0.3335,0.0606,1.5098,0.3458,0.0340,1.5608,0.3541,0.0277,1.5884,0.3575,0.0400,1.5881,0.3336
134.4201,E,RightHand,0.0675,1.5514,0.3549,0.0803,1.5019,0.3501,0.0944,1.5217,0.3434,0.1165,1.5521,0.3225,0.1156,1.5781,0.3013,0.1010,1.5852,0.2962,0.0844,1.5228,0.3469,0.0922,1.5862,0.3565,0.0870,1.6226,0.3514,0.0838,1.6082,0.3226,0.0767,1.5216,0.3483,0.0708,1.5832,0.3617,0.0624,1.6252,0.3555,0.0682,1.6109,0.3286,0.0664,1.5202,0.3497,0.0515,1.5792,0.3596,0.0446,1.6164,0.3593,0.0535,1.6040,0.3316,0.0578,1.5175,0.3482,0.0343,1.5703,0.3544,0.0297,1.5987,0.3563,0.0411,1.5969,0.3320
134.4866,E,RightHand,0.0684,1.5587,0.3580,0.0802,1.5087,0.3538,0.0945,1.5283,0.3466,0.1166,1.5582,0.3248,0.1167,1.5842,0.3035,0.1055,1.5945,0.2951,0.0846,1.5296,0.3502,0.0938,1.5929,0.3587,0.0895,1.6293,0.3529,0.0856,1.6143,0.3245,0.0769,1.5286,0.3517,0.0726,1.5905,0.3642,0.0652,1.6326,0.3572,0.0704,1.6176,0.3306,0.0666,1.5274,0.3533,0.0532,1.5869,0.3624,0.0476,1.6244,0.3614,0.0558,1.6111,0.3339,0.0579,1.5248,0.3520,0.0357,1.5783,0.3576,0.0318,1.6069,0.3591,0.0429,1.6044,0.3349
134.5566,E,RightHand,0.0680,1.5673,0.3633,0.0791,1.5173,0.3596,0.0937,1.5365,0.3523,0.1162,1.5661,0.3304,0.1154,1.5921,0.3092,0.1027,1.6013,0.3021,0.0838,1.5380,0.3558,0.0939,1.6012,0.3639,0.0902,1.6376,0.3583,0.0863,1.6223,0.3301,0.0761,1.5371,0.3573,0.0726,1.5992,0.3693,0.0660,1.6413,0.3619,0.0712,1.6257,0.3356,0.0658,1.5361,0.3588,0.0532,1.5958,0.3672,0.0481,1.6333,0.3658,0.0565,1.6196,0.3386,0.0571,1.5336,0.3574,0.0355,1.5874,0.3624,0.0320,1.6162,0.3636,0.0434,1.6133,0.3397
134.6198,E,RightHand,0.0686,1.5712,0.3651,0.0789,1.5210,0.3620,0.0939,1.5399,0.3546,0.1175,1.5682,0.3329,0.1134,1.5937,0.3126,0.0967,1.5967,0.3127,0.0840,1.5415,0.3581,0.0951,1.6047,0.3654,0.0926,1.6411,0.3592,0.0883,1.6262,0.3308,0.0763,1.5407,0.3595,0.0737,1.6031,0.3708,0.0683,1.6455,0.3630,0.0731,1.6301,0.3366,0.0659,1.5400,0.3610,0.0543,1.6000,0.3688,0.0502,1.6378,0.3673,0.0582,1.6241,0.3399,0.0572,1.5376,0.3596,0.0365,1.5919,0.3638,0.0337,1.6208,0.3643,0.0451,1.6175,0.3404
