Time,Label,Handedness,Palm_X,Palm_Y,Palm_Z,Wrist_X,Wrist_Y,Wrist_Z,ThumbMetacarpal_X,ThumbMetacarpal_Y,ThumbMetacarpal_Z,ThumbProximal_X,ThumbProximal_Y,ThumbProximal_Z,ThumbDistal_X,ThumbDistal_Y,ThumbDistal_Z,ThumbTip_X,ThumbTip_Y,ThumbTip_Z,IndexMetacarpal_X,IndexMetacarpal_Y,IndexMetacarpal_Z,IndexProximal_X,IndexProximal_Y,IndexProximal_Z,IndexIntermediate_X,IndexIntermediate_Y,IndexIntermediate_Z,IndexTip_X,IndexTip_Y,IndexTip_Z,MiddleMetacarpal_X,MiddleMetacarpal_Y,MiddleMetacarpal_Z,MiddleProximal_X,MiddleProximal_Y,MiddleProximal_Z,MiddleIntermediate_X,MiddleIntermediate_Y,MiddleIntermediate_Z,MiddleTip_X,MiddleTip_Y,MiddleTip_Z,RingMetacarpal_X,RingMetacarpal_Y,RingMetacarpal_Z,RingProximal_X,RingProximal_Y,RingProximal_Z,RingIntermediate_X,RingIntermediate_Y,RingIntermediate_Z,RingTip_X,RingTip_Y,RingTip_Z,LittleMetacarpal_X,LittleMetacarpal_Y,LittleMetacarpal_Z,LittleProximal_X,LittleProximal_Y,LittleProximal_Z,LittleIntermediate_X,LittleIntermediate_Y,LittleIntermediate_Z,LittleTip_X,LittleTip_Y,LittleTip_Z
345.1212,L,LeftHand,0.1398,1.2378,0.2885,0.1289,1.2041,0.2618,0.1156,1.2136,0.2780,0.0911,1.2402,0.2934,0.0831,1.2683,0.2978,0.0788,1.2841,0.2992,0.1243,1.2162,0.2756,0.1269,1.2477,0.3234,0.1151,1.2824,0.3350,0.1000,1.3136,0.3370,0.1295,1.2181,0.2718,0.1417,1.2525,0.3120,0.1296,1.2887,0.3220,0.1076,1.2791,0.2990,0.1362,1.2211,0.2666,0.1503,1.2596,0.2979,0.1408,1.2906,0.3064,0.1242,1.2698,0.2892,0.1403,1.2239,0.2602,0.1592,1.2661,0.2829,0.1585,1.2844,0.2929,0.1427,1.2682,0.2873
345.1878,L,LeftHand,0.1205,1.2834,0.2958,0.1096,1.2497,0.2691,0.0963,1.2592,0.2853,0.0718,1.2858,0.3007,0.0638,1.3138,0.3051,0.0595,1.3296,0.3065,0.1050,1.2618,0.2829,0.1076,1.2932,0.3307,0.0958,1.3279,0.3424,0.0807,1.3591,0.3443,0.1102,1.2637,0.2791,0.1224,1.2981,0.3193,0.1103,1.3342,0.3293,0.0883,1.3246,0.3064,0.1169,1.2667,0.2739,0.1311,1.3051,0.3052,0.1215,1.3362,0.3137,0.1049,1.3154,0.2965,0.1210,1.2694,0.2676,0.1399,1.3117,0.2902,0.1393,1.3299,0.3002,0.1234,1.3137,0.2946
345.2526,L,LeftHand,0.1093,1.3145,0.3008,0.0985,1.2808,0.2741,0.0852,1.2903,0.2903,0.0607,1.3169,0.3056,0.0527,1.3449,0.3100,0.0484,1.3607,0.3115,0.0939,1.2929,0.2879,0.0965,1.3243,0.3356,0.0846,1.3591,0.3473,0.0696,1.3902,0.3492,0.0991,1.2948,0.2840,0.1113,1.3292,0.3242,0.0992,1.3653,0.3342,0.0772,1.3557,0.3113,0.1058,1.2978,0.2789,0.1199,1.3363,0.3102,0.1104,1.3673,0.3186,0.0937,1.3465,0.3015,0.1099,1.3006,0.2725,0.1288,1.3428,0.2951,0.1281,1.3611,0.3051,0.1123,1.3448,0.2995
345.3315,L,RightHand,0.0711,1.3668,0.3072,0.0926,1.3318,0.2882,0.1015,1.3586,0.2915,0.1184,1.3916,0.3040,0.1159,1.4163,0.3159,0.1175,1.4324,0.3215,0.0921,1.3538,0.2938,0.0845,1.3992,0.3240,0.0701,1.4336,0.3388,0.0567,1.4656,0.3405,0.0855,1.3495,0.2936,0.0683,1.3886,0.3221,0.0554,1.4216,0.3018,0.0669,1.4193,0.2662,0.0767,1.3443,0.2931,0.0545,1.3804,0.3140,0.0466,1.4065,0.2905,0.0688,1.3926,0.2663,0.0700,1.3409,0.2902,0.0392,1.3747,0.3045,0.0349,1.3940,0.2915,0.0539,1.3931,0.2707
345.4047,L,RightHand,0.0481,1.4307,0.3317,0.0702,1.3916,0.3213,0.0797,1.4188,0.3211,0.0973,1.4526,0.3296,0.0957,1.4787,0.3370,0.1000,1.4951,0.3413,0.0700,1.4148,0.3232,0.0613,1.4651,0.3439,0.0489,1.5027,0.3522,0.0379,1.5358,0.3524,0.0632,1.4107,0.3231,0.0446,1.4552,0.3424,0.0336,1.4878,0.3185,0.0433,1.4888,0.2823,0.0542,1.4057,0.3226,0.0313,1.4460,0.3343,0.0257,1.4694,0.3072,0.0483,1.4541,0.2841,0.0477,1.4019,0.3197,0.0171,1.4385,0.3244,0.0148,1.4553,0.3080,0.0358,1.4500,0.2900
345.4753,L,RightHand,0.0354,1.4709,0.3551,0.0568,1.4301,0.3483,0.0667,1.4572,0.3458,0.0849,1.4916,0.3513,0.0847,1.5181,0.3565,0.0915,1.5341,0.3604,0.0569,1.4536,0.3482,0.0495,1.5059,0.3642,0.0396,1.5447,0.3704,0.0307,1.5784,0.3704,0.0500,1.4497,0.3484,0.0326,1.4963,0.3634,0.0229,1.5267,0.3365,0.0330,1.5238,0.3005,0.0409,1.4449,0.3483,0.0190,1.4867,0.3561,0.0142,1.5077,0.3270,0.0365,1.4897,0.3056,0.0343,1.4411,0.3457,0.0046,1.4787,0.3468,0.0028,1.4938,0.3290,0.0241,1.4859,0.3123
345.5420,L,RightHand,0.0268,1.4940,0.3793,0.0476,1.4533,0.3716,0.0574,1.4803,0.3684,0.0760,1.5147,0.3729,0.0764,1.5412,0.3780,0.0837,1.5571,0.3816,0.0477,1.4768,0.3714,0.0416,1.5290,0.3875,0.0325,1.5685,0.3937,0.0245,1.6022,0.3979,0.0408,1.4729,0.3720,0.0249,1.5190,0.3875,0.0161,1.5460,0.3566,0.0259,1.5387,0.3211,0.0317,1.4681,0.3724,0.0109,1.5095,0.3811,0.0058,1.5288,0.3507,0.0274,1.5091,0.3301,0.0250,1.4643,0.3702,-0.0040,1.5020,0.3725,-0.0053,1.5165,0.3540,0.0159,1.5057,0.3387
345.6091,L,RightHand,0.0228,1.5196,0.4080,0.0426,1.4796,0.3965,0.0521,1.5067,0.3934,0.0719,1.5402,0.3978,0.0738,1.5663,0.4043,0.0817,1.5819,0.4078,0.0428,1.5030,0.3972,0.0383,1.5543,0.4161,0.0305,1.5940,0.4212,0.0232,1.6280,0.4242,0.0359,1.4990,0.3984,0.0220,1.5435,0.4175,0.0131,1.5675,0.3849,0.0229,1.5517,0.3520,0.0269,1.4942,0.3996,0.0079,1.5335,0.4123,0.0036,1.5485,0.3820,0.0241,1.5192,0.3846,0.0200,1.4904,0.3979,-0.0081,1.5276,0.4043,-0.0085,1.5406,0.3871,0.0122,1.5202,0.3856
345.6794,L,RightHand,0.0221,1.5349,0.4224,0.0404,1.4954,0.4100,0.0504,1.5218,0.4058,0.0723,1.5538,0.4093,0.0767,1.5798,0.4158,0.0847,1.5953,0.4185,0.0412,1.5183,0.4102,0.0381,1.5697,0.4291,0.0327,1.6087,0.4339,0.0251,1.6409,0.4243,0.0344,1.5143,0.4119,0.0217,1.5598,0.4319,0.0104,1.5878,0.4086,0.0233,1.5577,0.3918,0.0253,1.5095,0.4137,0.0073,1.5493,0.4276,0.0007,1.5655,0.3997,0.0179,1.5388,0.4137,0.0183,1.5058,0.4126,-0.0089,1.5430,0.4208,-0.0103,1.5551,0.4040,0.0086,1.5344,0.4107
345.7531,L,RightHand,0.0225,1.5500,0.4228,0.0391,1.5101,0.4106,0.0500,1.5359,0.4056,0.0739,1.5664,0.4086,0.0811,1.5921,0.4147,0.0898,1.6071,0.4167,0.0408,1.5328,0.4103,0.0397,1.5846,0.4286,0.0360,1.6239,0.4329,0.0299,1.6579,0.4289,0.0339,1.5290,0.4122,0.0230,1.5751,0.4320,0.0119,1.6032,0.4085,0.0230,1.5729,0.3896,0.0247,1.5245,0.4144,0.0083,1.5649,0.4282,0.0013,1.5807,0.4004,0.0177,1.5545,0.4165,0.0176,1.5210,0.4135,-0.0082,1.5586,0.4217,-0.0093,1.5694,0.4039,0.0090,1.5491,0.4129
