Time,Label,Handedness,Palm_X,Palm_Y,Palm_Z,Wrist_X,Wrist_Y,Wrist_Z,ThumbMetacarpal_X,ThumbMetacarpal_Y,ThumbMetacarpal_Z,ThumbProximal_X,ThumbProximal_Y,ThumbProximal_Z,ThumbDistal_X,ThumbDistal_Y,ThumbDistal_Z,ThumbTip_X,ThumbTip_Y,ThumbTip_Z,IndexMetacarpal_X,IndexMetacarpal_Y,IndexMetacarpal_Z,IndexProximal_X,IndexProximal_Y,IndexProximal_Z,IndexIntermediate_X,IndexIntermediate_Y,IndexIntermediate_Z,IndexTip_X,IndexTip_Y,IndexTip_Z,MiddleMetacarpal_X,MiddleMetacarpal_Y,MiddleMetacarpal_Z,MiddleProximal_X,MiddleProximal_Y,MiddleProximal_Z,MiddleIntermediate_X,MiddleIntermediate_Y,MiddleIntermediate_Z,MiddleTip_X,MiddleTip_Y,MiddleTip_Z,RingMetacarpal_X,RingMetacarpal_Y,RingMetacarpal_Z,RingProximal_X,RingProximal_Y,RingProximal_Z,RingIntermediate_X,RingIntermediate_Y,RingIntermediate_Z,RingTip_X,RingTip_Y,RingTip_Z,LittleMetacarpal_X,LittleMetacarpal_Y,LittleMetacarpal_Z,LittleProximal_X,LittleProximal_Y,LittleProximal_Z,LittleIntermediate_X,LittleIntermediate_Y,LittleIntermediate_Z,LittleTip_X,LittleTip_Y,LittleTip_Z
462.8628,P,LeftHand,-0.1190,0.9798,0.2173,-0.1422,0.9828,0.1809,-0.1491,0.9823,0.2033,-0.1517,0.9950,0.2417,-0.1386,1.0088,0.2659,-0.1295,1.0174,0.2758,-0.1404,0.9820,0.2000,-0.1269,0.9643,0.2523,-0.1131,0.9776,0.2860,-0.1045,0.9973,0.3125,-0.1349,0.9841,0.1969,-0.1121,0.9707,0.2417,-0.1098,0.9979,0.2674,-0.1372,1.0080,0.2429,-0.1274,0.9871,0.1932,-0.1026,0.9824,0.2317,-0.1084,1.0110,0.2492,-0.1341,1.0057,0.2247,-0.1222,0.9919,0.1895,-0.0938,0.9972,0.2235,-0.1040,1.0155,0.2329,-0.1266,1.0068,0.2171
463.0564,P,LeftHand,-0.1545,0.9611,0.2177,-0.1810,0.9453,0.1868,-0.1683,0.9647,0.1849,-0.1402,0.9913,0.1796,-0.1130,0.9991,0.1857,-0.0974,1.0000,0.1895,-0.1685,0.9582,0.1921,-0.1425,0.9976,0.2251,-0.1161,1.0136,0.2455,-0.0819,1.0156,0.2448,-0.1683,0.9521,0.1957,-0.1416,0.9811,0.2363,-0.1111,0.9958,0.2614,-0.0743,0.9998,0.2570,-0.1675,0.9441,0.2003,-0.1369,0.9641,0.2412,-0.1103,0.9754,0.2635,-0.0748,0.9793,0.2586,-0.1658,0.9365,0.2020,-0.1335,0.9450,0.2409,-0.1141,0.9513,0.2557,-0.0860,0.9545,0.2548
463.2039,P,LeftHand,-0.1335,0.9700,0.2114,-0.1599,0.9618,0.1765,-0.1658,0.9614,0.1992,-0.1809,0.9677,0.2350,-0.1869,0.9814,0.2603,-0.1877,0.9924,0.2717,-0.1569,0.9640,0.1958,-0.1359,0.9580,0.2479,-0.1404,0.9793,0.2730,-0.1588,0.9963,0.2546,-0.1517,0.9672,0.1920,-0.1233,0.9662,0.2359,-0.1322,0.9945,0.2622,-0.1552,0.9954,0.2377,-0.1450,0.9716,0.1871,-0.1170,0.9788,0.2248,-0.1279,1.0050,0.2465,-0.1497,0.9966,0.2230,-0.1414,0.9770,0.1824,-0.1121,0.9939,0.2150,-0.1242,1.0100,0.2291,-0.1447,0.9989,0.2143
463.2696,P,LeftHand,-0.1406,0.9547,0.1834,-0.1818,0.9440,0.1875,-0.1706,0.9667,0.1951,-0.1493,0.9977,0.2092,-0.1277,1.0119,0.2114,-0.1220,1.0231,0.2254,-0.1672,0.9582,0.1900,-0.1186,0.9794,0.2037,-0.1074,1.0023,0.1870,-0.1380,0.9912,0.1842,-0.1664,0.9524,0.1850,-0.1169,0.9651,0.1907,-0.1053,0.9920,0.1686,-0.1406,0.9842,0.1768,-0.1650,0.9452,0.1783,-0.1186,0.9567,0.1746,-0.1107,0.9804,0.1537,-0.1418,0.9748,0.1690,-0.1653,0.9412,0.1714,-0.1209,0.9491,0.1569,-0.1166,0.9626,0.1449,-0.1400,0.9684,0.1594
463.3344,P,LeftHand,-0.1425,0.9559,0.1876,-0.1818,0.9426,0.1798,-0.1727,0.9680,0.1886,-0.1553,0.9970,0.2101,-0.1319,1.0030,0.2191,-0.1294,1.0121,0.2357,-0.1683,0.9587,0.1854,-0.1280,0.9840,0.2104,-0.1075,0.9990,0.1909,-0.1374,0.9934,0.1887,-0.1661,0.9522,0.1815,-0.1237,0.9681,0.2007,-0.1148,0.9892,0.1725,-0.1488,0.9807,0.1856,-0.1628,0.9442,0.1762,-0.1226,0.9573,0.1868,-0.1262,0.9781,0.1603,-0.1540,0.9680,0.1803,-0.1607,0.9394,0.1701,-0.1211,0.9494,0.1690,-0.1323,0.9648,0.1527,-0.1510,0.9610,0.1735
463.4011,P,LeftHand,-0.1326,0.9631,0.1993,-0.1736,0.9495,0.1940,-0.1633,0.9709,0.2101,-0.1419,0.9921,0.2384,-0.1202,1.0014,0.2527,-0.1165,1.0070,0.2700,-0.1592,0.9638,0.2030,-0.1157,0.9819,0.2285,-0.1031,1.0068,0.2141,-0.1356,1.0005,0.2080,-0.1577,0.9594,0.1966,-0.1122,0.9714,0.2128,-0.1062,1.0019,0.1944,-0.1430,0.9919,0.2031,-0.1552,0.9542,0.1882,-0.1112,0.9677,0.1951,-0.1073,0.9965,0.1796,-0.1407,0.9892,0.1908,-0.1542,0.9522,0.1805,-0.1094,0.9658,0.1756,-0.1051,0.9829,0.1680,-0.1314,0.9892,0.1773
463.4736,P,LeftHand,-0.1374,0.9749,0.2084,-0.1801,0.9650,0.2091,-0.1672,0.9721,0.2283,-0.1477,0.9878,0.2606,-0.1365,1.0002,0.2826,-0.1355,0.9991,0.3009,-0.1642,0.9715,0.2187,-0.1122,0.9740,0.2368,-0.1160,1.0035,0.2464,-0.1433,0.9933,0.2290,-0.1640,0.9720,0.2114,-0.1135,0.9751,0.2175,-0.1105,1.0105,0.2286,-0.1454,0.9938,0.2224,-0.1636,0.9731,0.2019,-0.1168,0.9827,0.2014,-0.1092,1.0139,0.2069,-0.1397,0.9972,0.2150,-0.1649,0.9760,0.1945,-0.1187,0.9907,0.1836,-0.1076,1.0006,0.1819,-0.1311,1.0009,0.1989
463.5454,P,LeftHand,-0.1492,0.9771,0.1883,-0.1902,0.9647,0.1769,-0.1820,0.9651,0.1996,-0.1717,0.9676,0.2385,-0.1659,0.9717,0.2655,-0.1666,0.9665,0.2827,-0.1775,0.9683,0.1912,-0.1287,0.9682,0.2198,-0.1146,0.9824,0.2450,-0.1389,1.0016,0.2433,-0.1761,0.9715,0.1847,-0.1253,0.9768,0.2030,-0.1099,0.9994,0.2308,-0.1388,0.9986,0.2245,-0.1742,0.9761,0.1764,-0.1243,0.9887,0.1902,-0.1027,1.0036,0.2096,-0.1324,0.9983,0.2049,-0.1747,0.9813,0.1703,-0.1254,0.9992,0.1740,-0.1061,0.9989,0.1771,-0.1307,1.0005,0.1866
463.6196,P,LeftHand,-0.1490,0.9748,0.1907,-0.1890,0.9598,0.1755,-0.1813,0.9590,0.1989,-0.1728,0.9596,0.2386,-0.1687,0.9615,0.2651,-0.1706,0.9492,0.2791,-0.1767,0.9634,0.1911,-0.1296,0.9648,0.2226,-0.1167,0.9763,0.2493,-0.1424,0.9941,0.2486,-0.1753,0.9672,0.1850,-0.1250,0.9751,0.2072,-0.1049,0.9912,0.2371,-0.1350,0.9968,0.2365,-0.1734,0.9727,0.1773,-0.1238,0.9881,0.1949,-0.0993,0.9992,0.2136,-0.1292,0.9998,0.2150,-0.1742,0.9784,0.1717,-0.1262,0.9983,0.1783,-0.1019,0.9946,0.1786,-0.1173,1.0021,0.1936
463.6945,P,LeftHand,-0.1308,0.9739,0.1981,-0.1717,0.9672,0.1856,-0.1644,0.9713,0.2080,-0.1534,0.9837,0.2447,-0.1433,0.9968,0.2677,-0.1413,1.0020,0.2842,-0.1590,0.9713,0.1997,-0.1136,0.9677,0.2322,-0.1036,0.9904,0.2531,-0.1258,1.0108,0.2417,-0.1568,0.9726,0.1929,-0.1097,0.9712,0.2134,-0.1059,1.0052,0.2322,-0.1381,1.0002,0.2181,-0.1536,0.9748,0.1842,-0.1096,0.9804,0.1979,-0.1080,1.0116,0.2124,-0.1364,0.9943,0.2050,-0.1527,0.9786,0.1772,-0.1080,0.9927,0.1831,-0.1050,1.0102,0.1914,-0.1288,0.9966,0.1961
