Time,Label,Handedness,Palm_X,Palm_Y,Palm_Z,Wrist_X,Wrist_Y,Wrist_Z,ThumbMetacarpal_X,ThumbMetacarpal_Y,ThumbMetacarpal_Z,ThumbProximal_X,ThumbProximal_Y,ThumbProximal_Z,ThumbDistal_X,ThumbDistal_Y,ThumbDistal_Z,ThumbTip_X,ThumbTip_Y,ThumbTip_Z,IndexMetacarpal_X,IndexMetacarpal_Y,IndexMetacarpal_Z,IndexProximal_X,IndexProximal_Y,IndexProximal_Z,IndexIntermediate_X,IndexIntermediate_Y,IndexIntermediate_Z,IndexTip_X,IndexTip_Y,IndexTip_Z,MiddleMetacarpal_X,MiddleMetacarpal_Y,MiddleMetacarpal_Z,MiddleProximal_X,MiddleProximal_Y,MiddleProximal_Z,MiddleIntermediate_X,MiddleIntermediate_Y,MiddleIntermediate_Z,MiddleTip_X,MiddleTip_Y,MiddleTip_Z,RingMetacarpal_X,RingMetacarpal_Y,RingMetacarpal_Z,RingProximal_X,RingProximal_Y,RingProximal_Z,RingIntermediate_X,RingIntermediate_Y,RingIntermediate_Z,RingTip_X,RingTip_Y,RingTip_Z,LittleMetacarpal_X,LittleMetacarpal_Y,LittleMetacarpal_Z,LittleProximal_X,LittleProximal_Y,LittleProximal_Z,LittleIntermediate_X,LittleIntermediate_Y,LittleIntermediate_Z,LittleTip_X,LittleTip_Y,LittleTip_Z
583.0740,T,LeftHand,-0.1418,0.9823,0.2055,-0.1379,0.9797,0.1738,-0.1286,0.9891,0.1859,-0.1128,0.9963,0.2084,-0.1053,0.9941,0.2293,-0.1004,0.9915,0.2393,-0.1346,0.9851,0.1864,-0.1362,1.0032,0.2232,-0.1366,1.0056,0.2528,-0.1269,1.0005,0.2750,-0.1374,0.9807,0.1867,-0.1435,0.9912,0.2237,-0.1301,0.9850,0.2495,-0.1129,0.9810,0.2303,-0.1407,0.9754,0.1876,-0.1449,0.9786,0.2232,-0.1308,0.9710,0.2421,-0.1184,0.9731,0.2188,-0.1416,0.9702,0.1873,-0.1467,0.9649,0.2224,-0.1375,0.9622,0.2329,-0.1242,0.9672,0.2197
583.1602,T,LeftHand,-0.1460,0.9748,0.2013,-0.1404,0.9671,0.1691,-0.1321,0.9800,0.1820,-0.1244,0.9935,0.2070,-0.1255,0.9965,0.2291,-0.1221,1.0041,0.2388,-0.1379,0.9752,0.1821,-0.1422,0.9985,0.2151,-0.1404,1.0061,0.2453,-0.1409,1.0134,0.2692,-0.1404,0.9706,0.1828,-0.1499,0.9872,0.2191,-0.1556,1.0010,0.2523,-0.1617,1.0130,0.2757,-0.1433,0.9650,0.1842,-0.1521,0.9757,0.2223,-0.1599,0.9862,0.2479,-0.1691,0.9968,0.2711,-0.1438,0.9598,0.1847,-0.1535,0.9618,0.2223,-0.1615,0.9702,0.2417,-0.1706,0.9748,0.2611
583.2366,T,LeftHand,-0.1680,0.9667,0.2080,-0.1926,0.9486,0.1939,-0.1752,0.9461,0.1938,-0.1499,0.9353,0.2017,-0.1319,0.9251,0.2109,-0.1230,0.9182,0.2146,-0.1786,0.9517,0.1967,-0.1408,0.9692,0.2011,-0.1134,0.9808,0.2054,-0.0902,0.9854,0.2139,-0.1816,0.9544,0.2000,-0.1485,0.9777,0.2099,-0.1203,0.9952,0.2207,-0.0970,0.9999,0.2333,-0.1848,0.9575,0.2044,-0.1562,0.9810,0.2202,-0.1381,0.9984,0.2315,-0.1184,1.0074,0.2474,-0.1883,0.9581,0.2082,-0.1689,0.9808,0.2292,-0.1631,0.9932,0.2408,-0.1563,1.0063,0.2564
583.3055,T,LeftHand,-0.1079,0.9846,0.2712,-0.1412,0.9825,0.2721,-0.1294,0.9940,0.2655,-0.1089,1.0035,0.2484,-0.0888,1.0000,0.2388,-0.0791,1.0010,0.2317,-0.1280,0.9884,0.2694,-0.0922,1.0070,0.2708,-0.0831,1.0030,0.2447,-0.0899,0.9981,0.2217,-0.1271,0.9835,0.2701,-0.0918,0.9932,0.2730,-0.0875,0.9915,0.2411,-0.1033,0.9939,0.2192,-0.1257,0.9776,0.2706,-0.0903,0.9809,0.2695,-0.0734,0.9776,0.2481,-0.0729,0.9800,0.2211,-0.1259,0.9725,0.2695,-0.0897,0.9670,0.2672,-0.0741,0.9649,0.2598,-0.0610,0.9635,0.2436
583.5268,T,LeftHand,-0.0871,0.9768,0.2353,-0.1028,0.9891,0.2095,-0.0990,0.9954,0.2258,-0.0825,1.0018,0.2486,-0.0646,0.9971,0.2619,-0.0557,0.9979,0.2699,-0.0979,0.9890,0.2229,-0.0909,0.9808,0.2628,-0.0705,0.9748,0.2849,-0.0533,0.9711,0.3024,-0.0953,0.9856,0.2202,-0.0834,0.9701,0.2559,-0.0647,0.9542,0.2816,-0.0522,0.9419,0.3024,-0.0918,0.9816,0.2172,-0.0740,0.9662,0.2477,-0.0529,0.9586,0.2638,-0.0318,0.9545,0.2796,-0.0883,0.9799,0.2137,-0.0655,0.9639,0.2373,-0.0501,0.9644,0.2489,-0.0334,0.9601,0.2607
583.6096,T,LeftHand,-0.1258,0.9847,0.2049,-0.1547,0.9812,0.1875,-0.1510,0.9835,0.2056,-0.1407,0.9968,0.2304,-0.1313,1.0096,0.2469,-0.1297,1.0160,0.2569,-0.1465,0.9824,0.2001,-0.1191,0.9779,0.2310,-0.0948,0.9813,0.2493,-0.0790,0.9925,0.2652,-0.1438,0.9838,0.1960,-0.1099,0.9806,0.2198,-0.0786,0.9772,0.2361,-0.0581,0.9826,0.2527,-0.1403,0.9858,0.1913,-0.1044,0.9876,0.2104,-0.0788,0.9858,0.2201,-0.0589,0.9978,0.2347,-0.1390,0.9888,0.1872,-0.1038,0.9962,0.1991,-0.0869,1.0001,0.2081,-0.0728,1.0121,0.2184
583.6971,T,LeftHand,-0.1251,0.9920,0.2618,-0.1314,0.9901,0.2940,-0.1178,0.9955,0.2846,-0.1051,1.0130,0.2632,-0.0997,1.0281,0.2459,-0.0946,1.0368,0.2395,-0.1236,0.9925,0.2825,-0.1009,0.9897,0.2481,-0.0926,1.0029,0.2243,-0.0887,1.0239,0.2120,-0.1283,0.9927,0.2811,-0.1146,0.9897,0.2434,-0.1071,1.0036,0.2134,-0.0994,1.0224,0.1958,-0.1340,0.9932,0.2790,-0.1265,0.9940,0.2405,-0.1247,0.9996,0.2132,-0.1219,1.0066,0.1872,-0.1389,0.9950,0.2787,-0.1400,0.9984,0.2416,-0.1412,1.0006,0.2227,-0.1452,0.9996,0.2021
583.7877,T,LeftHand,-0.0863,0.9876,0.2290,-0.0572,0.9881,0.2425,-0.0686,0.9981,0.2412,-0.0967,0.9994,0.2500,-0.1191,0.9921,0.2563,-0.1292,0.9883,0.2601,-0.0683,0.9928,0.2383,-0.1017,1.0075,0.2175,-0.1307,1.0049,0.2219,-0.1520,1.0036,0.2347,-0.0690,0.9882,0.2386,-0.1032,0.9930,0.2144,-0.1234,0.9913,0.1839,-0.1385,0.9917,0.1613,-0.0702,0.9826,0.2390,-0.1056,0.9815,0.2194,-0.1288,0.9791,0.2051,-0.1559,0.9808,0.2048,-0.0705,0.9778,0.2410,-0.1051,0.9716,0.2295,-0.1238,0.9799,0.2337,-0.1408,0.9873,0.2431
584.0984,T,LeftHand,0.3217,1.0713,0.2702,0.3098,1.0635,0.2394,0.3022,1.0649,0.2577,0.3018,1.0762,0.2855,0.3118,1.0880,0.3034,0.3127,1.0937,0.3141,0.3088,1.0652,0.2549,0.3141,1.0629,0.2954,0.3258,1.0731,0.3232,0.3350,1.0803,0.3455,0.3128,1.0676,0.2528,0.3264,1.0694,0.2916,0.3413,1.0728,0.3244,0.3528,1.0727,0.3489,0.3175,1.0709,0.2507,0.3338,1.0783,0.2873,0.3477,1.0792,0.3122,0.3619,1.0780,0.3353,0.3200,1.0747,0.2480,0.3398,1.0873,0.2788,0.3516,1.0866,0.2979,0.3656,1.0876,0.3148
584.1505,T,RightHand,-0.0890,0.9654,0.2964,-0.0953,0.9820,0.2663,-0.1069,0.9754,0.2814,-0.1204,0.9596,0.3006,-0.1195,0.9429,0.3150,-0.1206,0.9333,0.3216,-0.0995,0.9757,0.2807,-0.1029,0.9644,0.3204,-0.0936,0.9528,0.3480,-0.0877,0.9404,0.3685,-0.0948,0.9742,0.2792,-0.0886,0.9604,0.3174,-0.0751,0.9469,0.3439,-0.0848,0.9275,0.3443,-0.0891,0.9720,0.2776,-0.0787,0.9538,0.3120,-0.0666,0.9435,0.3323,-0.0789,0.9238,0.3286,-0.0855,0.9695,0.2745,-0.0700,0.9495,0.3019,-0.0597,0.9444,0.3157,-0.0651,0.9272,0.3193
